"PERSON_ID","PIMS PERSON.APP_CREATE_USER_DIRECTORY","ADDRESS_ID","ADDRESS_APP_CREATE_USER_DIRECTORY","APP_CREATE_USERID","Audit Trail.APP_CREATE_USER_DIRECTORY","APP_LAST_UPDATE_USERID","APP_LAST_UPDATE_USER_DIRECTORY","ADDRESS_USAGE_TYPE_CODE"
"241741","576","565930","576","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241742","578","565932","578","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241743","579","565933","579","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241744","580","565934","580","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241745","584","565935","584","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241746","622","565936","622","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241747","623","565937","623","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241748","624","565938","624","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241749","625","565939","625","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241750","629","565940","629","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
"241751","630","565941","630","APP_PIMS_PROXY_ETL_EDIT","place_holder","APP_PIMS_PROXY_ETL_EDIT","place_holder","MAILADDR"
